"","n=10","n=15","n=20","n=25","n=30","n=50","n=75","n=100","n=500"
"140",1,0.983226401406164,1,1,0.0170512108986307,0.0688096614989047,0.0614976268482541,0.165268249158982,1
"141",0.656366753432656,0.677102493752687,1,0.0747051738548063,0.0185632142272459,0.0368331366329635,0.0287997752803901,0.161312739389757,1
"142",0.880189861352826,0.888507116166696,0.0130133429341337,0.0145158377091469,1,0.194977606100515,0.0979593709992961,0.00949016676580841,0.011716926974156
"143",0.915810904493769,1,0.150534419901435,0.829990692965327,0.554019865409017,1,0.428144868844493,1,1
"144",1,1,0.153780019514285,1,0.313004558819137,0.0567424289461659,0.95279811287806,1,0.775553811193167
"145",0.583833119545033,1,0.165982840798574,0.781699947067018,0.404949911796668,0.383524756023194,0.382888363021957,0.0759441117344805,0.173248717758567
"146",1,0.138960392452624,1,0.60330446756699,1,0.0434661954248127,1,0.0483228009887197,0.05057656093936
"147",1,0.194347731035608,1,1,0.23888573059925,0.0383154728149611,1,0.286203946412718,0.0158398373823884
"148",1,0.270360008730428,0.0300370268337,0.188675220980103,0.48123309340655,0.158822875014673,0.620810099497471,1,0.122877170875307
"149",1,0.338287883786617,0.238533851715841,0.0890766544855839,0.0278479684096354,0.119970343622721,0.0202928608386692,0.820484622273055,0.0266683966110248
"150",0.871310907005376,1,0.655684279661738,0.114557618220135,0.738186035270192,0.493778569590127,0.0434793964166649,0.376689670923888,0.287333767181236
"151",1,1,1,0.786931376619393,0.933252163586431,0.0104979590695352,1,0.117104482101777,1
"152",1,1,0.504032955770039,0.0450796665482395,0.171464691616185,1,0.0142424181330631,0.239691500112799,0.38567269416145
"153",1,1,0.619307534618015,0.146356869482478,0.0464929663505917,1,1,0.26579667190988,0.699033559748764
"154",1,1,0.0974882569969993,0.0227976098374929,0.988785783033384,0.553411344062186,0.471077651878059,1,1
"155",0.256124407364919,1,0.0165145025419802,0.0217260178107492,1,0.0392256963824925,0.530953260991458,0.283195792081556,0.602835620823822
"156",0.430313682521607,0.0844606050046543,0.43563452039217,1,0.579387898722039,1,0.749749259131368,0.395316657269074,0.0115208455995594
"157",1,0.34653048689094,0.118666532364793,1,0.416912773170372,0.226280170203753,0.981977239637575,1,0.0185180548245516
"158",1,0.441619443161462,0.0122359102451089,1,0.924750356688513,0.113708416608732,0.130855338330941,0.134356351908511,0.247616885649086
"159",0.585187408292345,0.487269799144786,1,1,0.539069551244386,1,0.805304510574666,0.70106804872079,0.0109578362479949
"160",0.172359524886556,0.423527634465831,0.193234492240509,1,0.344326157691679,0.12291694731249,0.108501850686303,1,0.508306243134046
"161",0.414186049871914,1,1,1,1,0.281128663536845,0.0289141480464075,0.0250281961174449,0.857097265897742
"162",1,1,0.0999656323404037,0.838953045817706,0.931335207664027,1,0.814607881529356,0.0353164277175904,0.020556752657129
"163",1,1,0.243985404230235,0.0390548085766154,1,0.294706927707117,1,0.0839759165661641,0.0200826121072661
"164",0.242846619266996,0.28896401206516,1,1,1,0.0769053717229904,0.00917109082111699,0.0139685332922723,0.119330640223933
"165",0.442059021975281,1,1,1,1,0.0227271771652026,1,0.0607962642789558,0.0479778614332974
"166",0.0751204377277177,0.881501172821808,0.610629394506657,1,1,0.376940964369044,0.0118288347948591,0.728245117267246,1
"167",1,0.92976818981195,0.954983888401652,0.221983549364979,0.268456695717036,1,1,1,1
"168",0.238957638082611,1,1,0.0391169037441717,0.0979359618602878,0.324207404020768,0.199984169197475,0.288480690373257,0.0802134730215412
"169",0.623596364263148,0.161145842971141,1,0.980753061916357,1,0.0922110679414142,0.0969304879296839,0.798374957395553,0.499579432501543
"170",1,1,1,0.0219317529020952,0.312369221100726,0.165510373126063,1,0.286971427453304,1
"171",1,0.161710255513046,0.0743382178127007,1,1,0.179393680337237,0.478973967661805,0.0572114021105773,1
"172",0.12023805267072,0.0251460545060479,0.631295557696801,0.0259085929227922,1,0.710487604214632,0.775648207911354,0.0662741857230406,0.130673444575866
"173",1,0.340224575270621,1,1,0.764141016415643,1,0.0143242131481854,1,0.11125381465752
"174",1,0.893309339260207,0.699155252321789,1,0.887311330755773,0.626476914493591,0.465928337541347,0.573195395510923,1
"175",0.156908344610932,0.0150509176430789,1,0.183976546643282,1,0.0332214414820642,0.105003208503221,1,0.382740709450548
"176",1,1,0.235227709797622,0.3251957670404,0.441944739275711,0.114027460793785,0.793999304773611,0.110876492180269,0.169832916804614
"177",0.933496812737653,1,1,0.0108778549844767,1,0.0821025438826847,0.44650025289841,0.26218230226835,0.00865070910053472
"178",1,1,0.0575413476976372,1,0.525782691944544,1,0.25090087673622,0.135001044885617,0.251335167778504
"179",0.735742880711856,1,0.0177043770646653,0.298590438237394,1,0.0724596391862456,0.13613983074944,0.0135777522467744,0.0213870598757025
"180",1,1,0.497458728018022,0.0509013628504606,0.0175168142828158,0.0843585998520432,0.0344119683046719,0.818020371589395,0.111985884649488
"181",0.819944816184996,0.0751821454891578,0.0283634717992553,0.0599372964377625,0.231753782372198,1,1,0.539825046402621,0.527043489312929
"182",1,0.628626413347568,1,0.360923999447267,0.0962597107166481,1,0.518895409834379,1,0.0263873570785984
"183",0.175490851587371,1,1,0.813151188922646,0.097454666209234,0.00924472947756825,0.792746328240942,0.404038977765507,1
"184",1,1,0.260347918915896,1,1,0.0546723147840259,0.214668946856535,1,0.928689232376907
"185",0.655734763988365,0.200696509154252,0.846562907291958,0.166102336589566,1,0.329253857910375,1,0.266778201892552,0.0657909749795119
"186",1,0.326477609788603,0.102668410623772,1,1,0.10043116646977,0.118386962178635,0.0170374959064554,1
"187",1,0.109345416367114,1,0.386497567442476,0.598378362509907,0.87832756553927,1,0.866773283734206,0.45658595131668
"188",0.170516956851049,1,1,1,0.0418534801531949,1,0.0376452485781183,0.253846907032736,0.53657258381466
"189",0.887341915437547,0.0880673954303347,0.305295292687983,0.147506872990162,0.188310858694268,1,0.657869646847406,1,0.128685562705776
"190",1,0.0506916155997137,1,0.61136744482841,0.223607433137191,0.615026975654795,0.370244914568597,0.614347752025061,0.0185845502722998
"191",1,1,0.0819930876276447,1,0.142669525223622,0.0553365816483458,0.296532773257293,0.258331114210628,0.0136816696120762
"192",1,0.0119471709891769,0.679285769125833,0.213764075229779,0.0316086200536399,0.107226532706354,1,0.0134108942511778,0.012505176208976
"193",0.352814761385624,0.153362919379473,0.0101182376987399,1,1,1,0.0435489928932118,0.0252567845758062,0.299717425926649
"194",0.978559558909601,0.878048469089172,1,0.654434034783874,0.937034104908511,0.990043202495037,0.880788157834587,0.0884724280707686,0.433836411684855
"195",1,0.175887223200471,1,0.581574634854134,0.201084962830578,0.195273553572321,0.782721091851871,0.0116816286929405,1
"196",0.708570066453284,0.442276312306996,0.419591632086185,0.0112227460057699,0.0155490906421163,0.0577391194073967,0.0683100922520028,0.0744508909018477,0.966323017078611
"197",1,1,1,1,0.0508465611084796,1,0.486192362277233,0.263432985807033,0.274857048268004
"198",0.0257058626670361,1,0.058129677515564,1,0.118092323925831,0.354126145944008,0.331505188319601,0.0680779075531828,0.864826131151556
"199",1,1,0.922411624652888,1,1,0.0495400618862912,1,0.208636360790677,0.106685378418693
"200",0.289029381742457,1,0.160372420489903,1,0.321631952852492,0.32637208921371,0.0245910342039046,0.00872076795691867,1
"201",1,0.751056636692142,1,0.194718411915438,0.108661106188936,0.0403789438174172,0.205829143051513,0.0117841101932763,0.0158276169843067
"202",0.950828221134586,1,0.120748002930128,0.262136967999514,0.231017052091037,0.0631476755301691,0.811326664408603,1,1
"203",1,1,1,1,1,0.120680077638947,0.0122419701686936,0.00809255071768103,0.0553385118182537
"204",1,1,1,0.303417519943285,1,0.996504454317381,0.41978574390799,0.0359553092133401,0.246996890118161
